2025-04-20 14:58:58 Epoch 1, Batch 1880/159621, Loss: 0.2979
2025-04-20 14:58:58 Epoch 1, Batch 1890/159621, Loss: 0.2420
2025-04-20 14:58:59 Epoch 1, Batch 1900/159621, Loss: 0.3439
2025-04-20 14:58:59 Epoch 1, Batch 1910/159621, Loss: 0.3751
2025-04-20 14:59:00 Epoch 1, Batch 1920/159621, Loss: 0.1650
2025-04-20 14:59:00 Epoch 1, Batch 1930/159621, Loss: 0.1256
2025-04-20 14:59:00 Epoch 1, Batch 1940/159621, Loss: 0.3129
2025-04-20 14:59:01 Epoch 1, Batch 1950/159621, Loss: 0.2520
2025-04-20 14:59:01 Epoch 1, Batch 1960/159621, Loss: 0.3117
2025-04-20 14:59:01 Epoch 1, Batch 1970/159621, Loss: 0.4009
2025-04-20 14:59:02 Epoch 1, Batch 1980/159621, Loss: 0.1909
2025-04-20 14:59:02 Epoch 1, Batch 1990/159621, Loss: 0.3459
2025-04-20 14:59:03 Epoch 1, Batch 2000/159621, Loss: 0.3474
2025-04-20 14:59:03 Epoch 1, Batch 2010/159621, Loss: 0.3486
2025-04-20 14:59:03 Epoch 1, Batch 2020/159621, Loss: 0.3059
2025-04-20 14:59:04 Epoch 1, Batch 2030/159621, Loss: 0.5224
2025-04-20 14:59:04 Epoch 1, Batch 2040/159621, Loss: 0.4820
2025-04-20 14:59:04 Epoch 1, Batch 2050/159621, Loss: 0.2157
2025-04-20 14:59:05 Epoch 1, Batch 2060/159621, Loss: 0.2918
2025-04-20 14:59:05 Epoch 1, Batch 2070/159621, Loss: 0.3841
2025-04-20 14:59:06 Epoch 1, Batch 2080/159621, Loss: 0.2832
2025-04-20 14:59:06 Epoch 1, Batch 2090/159621, Loss: 0.3398
2025-04-20 14:59:06 Epoch 1, Batch 2100/159621, Loss: 0.3354
2025-04-20 14:59:07 Epoch 1, Batch 2110/159621, Loss: 0.3596
2025-04-20 14:59:07 Epoch 1, Batch 2120/159621, Loss: 0.1538
2025-04-20 14:59:07 Epoch 1, Batch 2130/159621, Loss: 0.4132
2025-04-20 14:59:08 Epoch 1, Batch 2140/159621, Loss: 0.2182
2025-04-20 14:59:08 Epoch 1, Batch 2150/159621, Loss: 0.1780
2025-04-20 14:59:09 Epoch 1, Batch 2160/159621, Loss: 0.2181
2025-04-20 14:59:09 Epoch 1, Batch 2170/159621, Loss: 0.3683
2025-04-20 14:59:09 Epoch 1, Batch 2180/159621, Loss: 0.2772
2025-04-20 14:59:10 Epoch 1, Batch 2190/159621, Loss: 0.2824
2025-04-20 14:59:10 Epoch 1, Batch 2200/159621, Loss: 0.2102
2025-04-20 14:59:10 Epoch 1, Batch 2210/159621, Loss: 0.1836
2025-04-20 14:59:11 Epoch 1, Batch 2220/159621, Loss: 0.5826
2025-04-20 14:59:11 Epoch 1, Batch 2230/159621, Loss: 0.3207
2025-04-20 14:59:12 Epoch 1, Batch 2240/159621, Loss: 0.3244
2025-04-20 14:59:12 Epoch 1, Batch 2250/159621, Loss: 0.1777
2025-04-20 14:59:12 Epoch 1, Batch 2260/159621, Loss: 0.2175
2025-04-20 14:59:13 Epoch 1, Batch 2270/159621, Loss: 0.1402
2025-04-20 14:59:13 Epoch 1, Batch 2280/159621, Loss: 0.4103
2025-04-20 14:59:13 Epoch 1, Batch 2290/159621, Loss: 0.1646
2025-04-20 14:59:14 Epoch 1, Batch 2300/159621, Loss: 0.1471
2025-04-20 14:59:14 Epoch 1, Batch 2310/159621, Loss: 0.3340
2025-04-20 14:59:15 Epoch 1, Batch 2320/159621, Loss: 0.2099
2025-04-20 14:59:15 Epoch 1, Batch 2330/159621, Loss: 0.1897
2025-04-20 14:59:15 Epoch 1, Batch 2340/159621, Loss: 0.2688
2025-04-20 14:59:16 Epoch 1, Batch 2350/159621, Loss: 0.1632
2025-04-20 14:59:16 Epoch 1, Batch 2360/159621, Loss: 0.2848
2025-04-20 14:59:16 Epoch 1, Batch 2370/159621, Loss: 0.3880
2025-04-20 14:59:17 Epoch 1, Batch 2380/159621, Loss: 0.4219
2025-04-20 14:59:17 Epoch 1, Batch 2390/159621, Loss: 0.3319
2025-04-20 14:59:18 Epoch 1, Batch 2400/159621, Loss: 0.3126
2025-04-20 14:59:18 Epoch 1, Batch 2410/159621, Loss: 0.1814
2025-04-20 14:59:18 Epoch 1, Batch 2420/159621, Loss: 0.4152
2025-04-20 14:59:19 Epoch 1, Batch 2430/159621, Loss: 0.0998
2025-04-20 14:59:19 Epoch 1, Batch 2440/159621, Loss: 0.2032
2025-04-20 14:59:20 Epoch 1, Batch 2450/159621, Loss: 0.1594
2025-04-20 14:59:20 Epoch 1, Batch 2460/159621, Loss: 0.1190
2025-04-20 14:59:20 Epoch 1, Batch 2470/159621, Loss: 0.3671
2025-04-20 14:59:21 Epoch 1, Batch 2480/159621, Loss: 0.1494
2025-04-20 14:59:21 Epoch 1, Batch 2490/159621, Loss: 0.3211
2025-04-20 14:59:21 Epoch 1, Batch 2500/159621, Loss: 0.2225
2025-04-20 14:59:22 Epoch 1, Batch 2510/159621, Loss: 0.3841
2025-04-20 14:59:22 Epoch 1, Batch 2520/159621, Loss: 0.2185
2025-04-20 14:59:23 Epoch 1, Batch 2530/159621, Loss: 0.4149
2025-04-20 14:59:23 Epoch 1, Batch 2540/159621, Loss: 0.2531
2025-04-20 14:59:23 Epoch 1, Batch 2550/159621, Loss: 0.3241
2025-04-20 14:59:24 Epoch 1, Batch 2560/159621, Loss: 0.1851
2025-04-20 14:59:24 Epoch 1, Batch 2570/159621, Loss: 0.4249
2025-04-20 14:59:24 Epoch 1, Batch 2580/159621, Loss: 0.4622
2025-04-20 14:59:25 Epoch 1, Batch 2590/159621, Loss: 0.1335
2025-04-20 14:59:25 Epoch 1, Batch 2600/159621, Loss: 0.1976
2025-04-20 14:59:26 Epoch 1, Batch 2610/159621, Loss: 0.5099
2025-04-20 14:59:26 Epoch 1, Batch 2620/159621, Loss: 0.4696
2025-04-20 14:59:26 Epoch 1, Batch 2630/159621, Loss: 0.2165
2025-04-20 14:59:27 Epoch 1, Batch 2640/159621, Loss: 0.4001
2025-04-20 14:59:27 Epoch 1, Batch 2650/159621, Loss: 0.2684
2025-04-20 14:59:27 Epoch 1, Batch 2660/159621, Loss: 0.3310
2025-04-20 14:59:28 Epoch 1, Batch 2670/159621, Loss: 0.3727
2025-04-20 14:59:28 Epoch 1, Batch 2680/159621, Loss: 0.5789
2025-04-20 14:59:29 Epoch 1, Batch 2690/159621, Loss: 0.2288
2025-04-20 14:59:29 Epoch 1, Batch 2700/159621, Loss: 0.1480
2025-04-20 14:59:29 Epoch 1, Batch 2710/159621, Loss: 0.1774
2025-04-20 14:59:30 Epoch 1, Batch 2720/159621, Loss: 0.2353
2025-04-20 14:59:30 Epoch 1, Batch 2730/159621, Loss: 0.2444
2025-04-20 14:59:30 Epoch 1, Batch 2740/159621, Loss: 0.1513
2025-04-20 14:59:31 Epoch 1, Batch 2750/159621, Loss: 0.2187
2025-04-20 14:59:31 Epoch 1, Batch 2760/159621, Loss: 0.0853
2025-04-20 14:59:32 Epoch 1, Batch 2770/159621, Loss: 0.2042
2025-04-20 14:59:32 Epoch 1, Batch 2780/159621, Loss: 0.4935
2025-04-20 14:59:32 Epoch 1, Batch 2790/159621, Loss: 0.2183
2025-04-20 14:59:33 Epoch 1, Batch 2800/159621, Loss: 0.1552
2025-04-20 14:59:33 Epoch 1, Batch 2810/159621, Loss: 0.4420
2025-04-20 14:59:33 Epoch 1, Batch 2820/159621, Loss: 0.1755
2025-04-20 14:59:34 Epoch 1, Batch 2830/159621, Loss: 0.1315
2025-04-20 14:59:34 Epoch 1, Batch 2840/159621, Loss: 0.2668
2025-04-20 14:59:35 Epoch 1, Batch 2850/159621, Loss: 0.2163
2025-04-20 14:59:35 Epoch 1, Batch 2860/159621, Loss: 0.2790
2025-04-20 14:59:36 Epoch 1, Batch 2870/159621, Loss: 0.3952
2025-04-20 14:59:36 Epoch 1, Batch 2880/159621, Loss: 0.1986
2025-04-20 14:59:36 Epoch 1, Batch 2890/159621, Loss: 0.3158
2025-04-20 14:59:37 Epoch 1, Batch 2900/159621, Loss: 0.1989
2025-04-20 14:59:37 Epoch 1, Batch 2910/159621, Loss: 0.2955
2025-04-20 14:59:37 Epoch 1, Batch 2920/159621, Loss: 0.1902
2025-04-20 14:59:38 Epoch 1, Batch 2930/159621, Loss: 0.1164
2025-04-20 14:59:38 Epoch 1, Batch 2940/159621, Loss: 0.2086
2025-04-20 14:59:39 Epoch 1, Batch 2950/159621, Loss: 0.1903
2025-04-20 14:59:39 Epoch 1, Batch 2960/159621, Loss: 0.5049
2025-04-20 14:59:39 Epoch 1, Batch 2970/159621, Loss: 0.2994
2025-04-20 14:59:40 Epoch 1, Batch 2980/159621, Loss: 0.3100
2025-04-20 14:59:40 Epoch 1, Batch 2990/159621, Loss: 0.2292
2025-04-20 14:59:40 Epoch 1, Batch 3000/159621, Loss: 0.1895
2025-04-20 14:59:41 Epoch 1, Batch 3010/159621, Loss: 0.0729
2025-04-20 14:59:41 Epoch 1, Batch 3020/159621, Loss: 0.1777
2025-04-20 14:59:41 Epoch 1, Batch 3030/159621, Loss: 0.5320
2025-04-20 14:59:42 Epoch 1, Batch 3040/159621, Loss: 0.5183
2025-04-20 14:59:42 Epoch 1, Batch 3050/159621, Loss: 0.2888
2025-04-20 14:59:43 Epoch 1, Batch 3060/159621, Loss: 0.2854
2025-04-20 14:59:43 Epoch 1, Batch 3070/159621, Loss: 0.1667
2025-04-20 14:59:43 Epoch 1, Batch 3080/159621, Loss: 0.1842
2025-04-20 14:59:44 Epoch 1, Batch 3090/159621, Loss: 0.1724
2025-04-20 14:59:44 Epoch 1, Batch 3100/159621, Loss: 0.4902
2025-04-20 14:59:44 Epoch 1, Batch 3110/159621, Loss: 0.2116
2025-04-20 14:59:45 Epoch 1, Batch 3120/159621, Loss: 0.2091
2025-04-20 14:59:45 Epoch 1, Batch 3130/159621, Loss: 0.2299
2025-04-20 14:59:46 Epoch 1, Batch 3140/159621, Loss: 0.2139
2025-04-20 14:59:46 Epoch 1, Batch 3150/159621, Loss: 0.1777
2025-04-20 14:59:46 Epoch 1, Batch 3160/159621, Loss: 0.2223
2025-04-20 14:59:47 Epoch 1, Batch 3170/159621, Loss: 0.1142
2025-04-20 14:59:47 Epoch 1, Batch 3180/159621, Loss: 0.2285
2025-04-20 14:59:47 Epoch 1, Batch 3190/159621, Loss: 0.2161
2025-04-20 14:59:48 Epoch 1, Batch 3200/159621, Loss: 0.1678
2025-04-20 14:59:48 Epoch 1, Batch 3210/159621, Loss: 0.1855
2025-04-20 14:59:49 Epoch 1, Batch 3220/159621, Loss: 0.1877
2025-04-20 14:59:49 Epoch 1, Batch 3230/159621, Loss: 0.3937
2025-04-20 14:59:49 Epoch 1, Batch 3240/159621, Loss: 0.1761
2025-04-20 14:59:50 Epoch 1, Batch 3250/159621, Loss: 0.2004
2025-04-20 14:59:50 Epoch 1, Batch 3260/159621, Loss: 0.2699
